"msg_code","vendor_msg_class","vendor_text_msg","vendor_text_msg_description","vendor_severity"
"12170","EAP","Successfully finished EAP-FAST machine PAC provisioning/update","Successfully finished the EAP-FAST machine PAC provisioning or update.","Info"
"12171","EAP","Successfully finished EAP-FAST user authorization PAC provisioning/update","Successfully finished the EAP-FAST user authorization PAC provisioning or update.","Info"
"12172","EAP","Successfully finished EAP-FAST posture PAC provisioning/update","Successfully finished the EAP-FAST posture PAC provisioning or update.","Info"
"12173","EAP","Successfully finished EAP-FAST CTS PAC provisioning/update","Successfully finished the EAP-FAST CTS PAC provisioning or update.","Info"
"12174","EAP","Received Machine PAC","Received Machine PAC from client.","Info"
"12175","EAP","Received Tunnel PAC","Received Tunnel PAC from client.","Info"
"12176","EAP","EAP-FAST PAC-less full handshake finished successfully","Using the PAC-less mode of EAP-FAST authentication. The tunnel was successfully built using full handshake.","Info"
"12177","EAP","No cipher for PAC-less EAP-FAST authentication","The cipher specified by the client's supplicant during the TLS handshake portion of EAP-FAST is not compatible with the PAC-less mode of operation currently configured in Allowed protocols configuration. This could be because the supplicant is either incorrectly configured, or even inherently unable in general, to work with PAC-less EAP-FAST authentication using the current version of ISE.","Warn"
"12178","EAP","Rejected PAC unexpectedly received during PAC-less mode of EAP-FAST","Despite the fact that Allowed protocols has configured EAP-FAST to use the PAC-less mode of operation, the client's supplicant has sent a PAC to ISE, as if the PAC-based mode is being used.","Warn"
"12179","EAP","Successfully finished EAP-FAST machine authorization PAC provisioning/update","Successfully finished the EAP-FAST machine authorization PAC provisioning or update.","Info"
"12200","EAP","Approved EAP-FAST client Tunnel PAC request","Approved the EAP-FAST request by the client's supplicant to provision a Tunnel PAC.","Info"
"12201","EAP","Approved EAP-FAST client Machine PAC request","Approved the EAP-FAST request by the client's supplicant to provision a Machine PAC.","Info"
"12202","EAP","Approved EAP-FAST client Authorization PAC request","Approved the EAP-FAST request by the client's supplicant to provision an Authorization PAC.","Info"
"12203","EAP","Using client certificate for authentication","ISE received client certificate during tunnel establishment or inside the tunnel. ISE is going to verify this certificate and use it for authentication.","Info"
"12204","EAP","Client certificate was received inside the tunnel","The supplicant provided client certificate inside the tunnel (certificate was send encrypted).","Info"
"12205","EAP","Client certificate was requested but not received inside the tunnel. Will continue with inner method.","ISE requested client certificate inside the tunnel but the supplicant has not provided the client certificate. ISE will continue authenticating the supplicant by running the inner method.","Info"
"12206","EAP","Client certificate was received during tunnel establishment","The supplicant provided a client certificate during tunnel establishment (certificate was sent not encrypted).","Info"
"12207","EAP","Client certificate was requested but not received during tunnel establishment. Will renegotiate and request client certificate inside the tunnel.","ISE requested client certificate during tunnel establishment but the supplicant did not provided the client certificate. The supplicant may be configured to not send the client certificate unless encrypted. ISE will renegotiate and request the client certificate inside the tunnel.","Info"
"12208","EAP","Client certificate was received but authentication failed","ISE received client certificate during tunnel establishment or inside the tunnel but the authentication failed.","Info"
"12209","EAP","Starting EAP chaining","ISE is configured to perform EAP chaining. ISE is starting EAP chaining and assume that client also supports EAP chaining.","Info"
"12210","EAP","Received User Authorization PAC","Received User Authorization PAC from client.","Info"
"12211","EAP","Received Machine Authorization PAC","Received Machine Authorization PAC from client.","Info"
"12212","EAP","Identity type provided by client is equal to requested","ISE requested a specific identity type from the client for current inner method and the client confirmed usage of this identity type.","Info"
"12213","EAP","Identity type provided by client is not equal to requested type","ISE requested a specific identity type from the client for the current inner method and the client denied usage of this identity type.","Info"
"12214","EAP","Client suggested 'User' identity type instead","Client suggested using the identity type 'User' in the current inner method.","Info"
"12215","EAP","Client suggested 'Machine' identity type instead","Client suggested using the identity type 'Machine' in the current inner method.","Info"
"12216","EAP","Identity type provided by client was already used for authentication","Client suggested to use an identity type in the current inner method that was already used in a previous inner method. ISE is rejecting this identity type.","Info"
"12217","EAP","Identity type provided by client is currently unsupported","Client suggested using an identity type in current inner method that is not supported by ISE. ISE is rejecting this identity type.","Info"
"12218","EAP","Selected identity type 'User","ISE selected identity type 'User' to use in current inner method.","Info"
"12219","EAP","Selected identity type 'Machine","ISE selected identity type 'Machine' to use in current inner method.","Info"
"12220","EAP","Client does not support EAP chaining. Switching to usual mode","ISE send Identity Type TLV in EAP request to client to conduct EP chaining. However Identity Type TLV is not present in client response. So EAP chaining is not supported by the client. ISE is switching to usual mode","Info"
"12221","EAP","Client does not support TLS renegotiation. Will continue with inner method","ISE tried to renegotiate handshake to ask for client certificate inside the tunnel but client does not support TLS renegotiation.","Info"
"12222","EAP","EAP-FAST PAC-less session resumed successfully","Using the PAC-less mode of EAP-FAST authentication. The tunnel was successfully built using short handshake.","Info"
"12223","EAP","Ignore PAC send by supplicant during fallback to provisioning conversation","ISE performed fallback on invalid PAC to provisioning. However during this provisioning conversation supplicant sent the PAC again. ISE will ignore this PAC.","Info"
"12224","EAP","User Authorization PAC request ignored because PAC of the same type was already used to skip inner method","User Authorization PAC request ignored because PAC of the same type was already used to skip inner method. Authorization PAC could be provided only after full authentication conversation.","Info"
"12225","EAP","Ignore Machine Authorization PAC request because of current PAC of the same type was used to skip inner method","Ignore Machine Authorization PAC request because of current PAC of the same type was used to skip inner method. Authorization PAC could be provided only after full authentication conversation.","Info"
"12226","EAP","Started renegotiated TLS handshake","ISE preformed TLS renegotiation and started another TLS handshake.","Info"
"12227","EAP","User Authorization PAC has expired - will run inner method","Received from the client User Authorization PAC that has expired. Expired Authorization PAC cannot be used for fast reconnect so ISE will run inner method to authenticate the user.","Info"
"12228","EAP","Machine Authorization PAC has expired - will run inner method","Received from the client Machine Authorization PAC that has expired. Expired Authorization PAC cannot be used for fast reconnect so ISE will run inner method to authenticate the machine.","Info"
"12229","EAP","No valid PAC requests on provisioning","Client did not send valid PAC request at the end of EAP-FAST provisioning conversation. Provisioning conversation should always finish with sending requested one or more PACs to the client. Legacy client may not ask for specific PAC since in initial draft of EAP-FAST protocol there was only one PAC type and it was unnecessary to specify it. ISE provides legacy Tunnel V1 PAC in such case. More advanced client may request several PAC types but they need to conform certain rules. For example, ISE can not provide User Authorization PAC if Tunnel PAC was not requested.","Warn"
"12230","EAP","Ignore any PAC requests in PAC-less mode","ISE ignores any PAC requests when it is configured for PAC-less mode.","Info"
"12231","EAP","Ignore Machine Authorization PAC request when there is no EAP chaining","ISE ignores Machine Authorization PAC request when there is no EAP chaining happens in the conversation. Machine Authorization PAC can be provided only during EAP chaining conversation. Note that EAP chaining can be configured in ISE but disabled or not supported in client so the conversation was conducted in no chaining mode.","Info"
"12232","EAP","Cannot decrypt PAC because of specified master key was not found - rejecting the PAC","Received from the client a PAC that cannot be decrypted because of specified master key was not found. Rejecting it.","Warn"
"12233","EAP","Cisco IP Phone detected. Turn EAP chaining off","Turn EAP chaining off for Cisco IP Phone authentication.","Info"
"12234","EAP","Client is detected as Cisco IP Phone","Client is detected as Cisco IP Phone.","Info"
"12300","EAP","Prepared EAP-Request proposing PEAP with challenge","Created an EAP-Request packet proposing to use the PEAP protocol, and also providing a PEAP challenge, for attachment to a RADIUS message. The PEAP protocol was proposed because it was one of the EAP-based protocols allowed in Allowed Protocols.","Info"
"12301","EAP","Extracted EAP-Response/NAK requesting to use PEAP instead","Extracted from the RADIUS message an EAP-Response/NAK packet, rejecting the previously-proposed EAP-based protocol, and requesting to use PEAP instead, per the configuration of the client's supplicant.","Info"
"12302","EAP","Extracted EAP-Response containing PEAP challenge-response and accepting PEAP as negotiated","Extracted from the RADIUS message an EAP-Response packet containing a PEAP challenge-response, and accepting PEAP as negotiated.","Info"
"12303","EAP","Failed to negotiate EAP because PEAP not allowed in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the previously-proposed EAP-based protocol, and requesting to use PEAP instead. However, PEAP is not allowed in Allowed Protocols.","Warn"
"12304","EAP","Extracted EAP-Response containing PEAP challenge-response","Continuing the PEAP protocol; processing the PEAP challenge-response in the extracted EAP-Response.","Info"
"12305","EAP","Prepared EAP-Request with another PEAP challenge","As part of the continuation of the PEAP protocol, created an EAP-Request packet containing another PEAP challenge, for attachment to a RADIUS message.","Info"
"12306","EAP","PEAP authentication succeeded","PEAP authentication succeeded.","Info"
"12307","EAP","PEAP authentication failed","PEAP authentication failed.","Info"
"12308","EAP","Client sent Result TLV indicating failure","Internal error, possibly in the supplicant: PEAP v0 authentication failed because client sent Result TLV indicating failure.","Warn"
"12309","EAP","PEAP handshake failed","PEAP handshake failed.","Warn"
"12310","EAP","PEAP full handshake finished successfully","PEAP full handshake finished successfully.","Info"
"12311","EAP","PEAP session resumed successfully","PEAP short handshake finished successfully - resumed previous session.","Info"
"12312","EAP","PEAP fast-reconnect - skipping inner method","PEAP fast-reconnect - skipping inner method.","Info"
"12313","EAP","PEAP inner method started","PEAP inner method started.","Info"
"12314","EAP","PEAP inner method finished successfully","PEAP inner method finished successfully.","Info"
"12315","EAP","PEAP inner method finished with failure","PEAP inner method finished with failure.","Info"
"12316","EAP","PEAP version negotiation failed","PEAP version negotiation failed, apparently because the supplicant supports neither v0 nor v1.","Warn"
"12317","EAP","PEAP fast-reconnect failed; starting inner method","PEAP fast-reconnect failed, possibly due to internal caching-related issues, or to the possibility that the inner method used in the previous authentication is no longer enabled for PEAP. Starting inner method.","Info"
"12318","EAP","Successfully negotiated PEAP version 0","Successfully negotiated PEAP version 0.","Info"
"12319","EAP","Successfully negotiated PEAP version 1","Successfully negotiated PEAP version 1.","Info"
"12320","EAP","Client failed to acknowledge receipt of success or failure result","Internal error, possibly in the supplicant: PEAP v1 authentication failed because client failed to acknowledge receipt of success or failure result.","Warn"
"12321","EAP","PEAP failed SSL/TLS handshake because the client rejected the ISE local-certificate","PEAP failed SSL/TLS handshake because the client rejected the ISE local-certificate.","Warn"
"12322","EAP","PEAP failed SSL/TLS handshake after a client alert","PEAP failed SSL/TLS handshake after a client alert.","Warn"
"12500","EAP","Prepared EAP-Request proposing EAP-TLS with challenge","Created an EAP-Request packet proposing to use the EAP-TLS protocol, and also providing an EAP-TLS challenge, for attachment to a RADIUS message. The TLS protocol was proposed because it was one of the EAP-based protocols allowed in Allowed Protocols.","Info"
"12501","EAP","Extracted EAP-Response/NAK requesting to use EAP-TLS instead","Extracted from the RADIUS message an EAP-Response/NAK packet, rejecting the previously-proposed EAP-based protocol, and requesting to use EAP-TLS instead, per the configuration of the client's supplicant.","Info"
"12502","EAP","Extracted EAP-Response containing EAP-TLS challenge-response and accepting EAP-TLS as negotiated","Extracted from the RADIUS message an EAP-Response packet containing an EAP-TLS challenge-response, and accepting EAP-TLS as negotiated.","Info"
"12503","EAP","Failed to negotiate EAP because EAP-TLS not enabled in Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the previously-proposed EAP-based protocol, and requesting to use EAP-TLS instead. However, EAP-TLS is not allowed in the Allowed Protocols.","Warn"
"12504","EAP","Extracted EAP-Response containing EAP-TLS challenge-response","Continuing the EAP-TLS protocol; processing the EAP-TLS challenge-response in the extracted EAP-Response.","Info"
"12505","EAP","Prepared EAP-Request with another EAP-TLS challenge","As part of the continuation of the EAP-TLS protocol, created an EAP-Request packet containing another EAP-TLS challenge, for attachment to a RADIUS message.","Info"
"12506","EAP","EAP-TLS authentication succeeded","EAP-TLS authentication succeeded.","Info"
"12507","EAP","EAP-TLS authentication failed","EAP-TLS authentication failed.","Info"
"12508","EAP","EAP-TLS handshake failed","EAP-TLS handshake failed.","Warn"
"12509","EAP","EAP-TLS full handshake finished successfully","EAP-TLS full handshake finished successfully.","Info"
"12510","EAP","EAP-TLS session resumed successfully","EAP-TLS short handshake finished successfully - resumed previous session.","Info"
"12511","EAP","Unexpectedly received TLS alert message; treating as a rejection by the client","While trying to negotiate a TLS handshake with the client, ISE received an unexpected TLS alert message. This might be due to the supplicant not trusting the ISE server certificate for some reason. ISE treated the unexpected message as a sign that the client rejected the tunnel establishment.","Warn"
"12512","EAP","Treat the unexpected TLS acknowledge message as a rejection from the client","Treat the unexpected TLS acknowledge message during tunnel building as a rejection from the client.","Warn"
"12513","EAP","Could not establish the EAP TLS SSL session","Could not establish the EAP TLS SSL session.","Warn"
"12514","EAP","EAP-TLS failed SSL/TLS handshake because of an unknown CA in the client certificates chain","EAP-TLS failed SSL/TLS handshake because of an unknown CA in the client certificates chain.","Warn"
"12515","EAP","EAP-TLS failed SSL/TLS handshake because of an expired CRL associated with a CA in the client certificates chain","EAP-TLS failed SSL/TLS handshake because of an expired CRL associated with a CA in the client certificates chain.","Warn"
"12516","EAP","EAP-TLS failed SSL/TLS handshake because of an expired certificate in the client certificates chain","EAP-TLS failed SSL/TLS handshake because of an expired certificate in the client certificates chain.","Warn"
"12517","EAP","EAP-TLS failed SSL/TLS handshake because of a revoked certificate in the client certificate chain","EAP-TLS failed SSL/TLS handshake because of a revoked certificate in the client certificate chain.","Warn"
"12518","EAP","EAP-TLS failed SSL/TLS handshake because of a bad certificate in the client certificate chain","EAP-TLS failed SSL/TLS handshake because of a bad certificate in the client certificate chain.","Warn"
"12519","EAP","EAP-TLS failed SSL/TLS handshake because of an unsupported certificate in the client certificate chain","EAP-TLS failed SSL/TLS handshake because of an unsupported certificate in the client certificate chain.","Warn"
"12520","EAP","EAP-TLS failed SSL/TLS handshake because the client rejected the ISE local-certificate","EAP-TLS failed SSL/TLS handshake because the client rejected the ISE local-certificate.","Warn"
"12521","EAP","EAP-TLS failed SSL/TLS handshake after a client alert","EAP-TLS failed SSL/TLS handshake after a client alert.","Warn"
"12522","EAP","Prepared EAP-Request for inner method proposing EAP-TLS with challenge","Created an EAP-Request packet proposing to use the EAP-TLS protocol for the inner method, and also providing an TLS challenge, for attachment to a RADIUS message. The EAP-TLS protocol was proposed because it was one of the EAP-based protocols allowed in Allowed Protocols.","Info"
"12523","EAP","Extracted EAP-Response/NAK for inner method requesting to use EAP-TLS instead","From the EAP-Response packet encountered in the outer EAP method, extracted an EAP-Response/NAK packet, rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-TLS instead, per the configuration of the client's supplicant.","Info"
"12524","EAP","Extracted EAP-Response containing EAP-TLS challenge-response for inner method and accepting EAP-TLS as negotiated","From the EAP-Response packet encountered in the outer EAP method, extracted an EAP-Response packet containing an EAP-TLS challenge-response, and accepting EAP-TLS as negotiated for the inner method.","Info"
"12525","EAP","Failed to negotiate EAP for inner method because EAP-TLS not allowed in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-TLS instead. However, EAP-TLS is not allowed in Allowed Protocols.","Warn"
"12526","EAP","Extracted EAP-Response for inner method containing TLS challenge-response","Continuing the inner EAP-TLS protocol; processing the EAP-TLS challenge-response in the extracted EAP-Response.","Info"
"12527","EAP","Prepared EAP-Request for inner method with another EAP-TLS challenge","As part of the continuation of the inner EAP-TLS protocol, created an EAP-Request packet containing another EAP-TLS challenge, for encapsulation within the outer EAP method's outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.","Info"
"12528","EAP","Inner EAP-TLS authentication succeeded","EAP-TLS authentication for the inner EAP method succeeded.","Info"
"12529","EAP","Inner EAP-TLS authentication failed","EAP-TLS authentication for the inner EAP method failed.","Info"
"12550","EAP","Sent an OCSP request to the primary OCSP server for the CA","Send an OCSP request to the primary OCSP server for the CA.","Info"
"12551","EAP","Sent an OCSP request to the secondary OCSP server for the CA","Send an OCSP request to the secondary OCSP server for the CA.","Info"
"12552","EAP","Conversation with OCSP server ended with failure","Conversation with OCSP server ended with failure.","Warn"
"12553","EAP","Received OCSP response","Received OCSP response.","Info"
"12554","EAP","OCSP status of user certificate is good","The OCSP server reported that the user certificate status is good.","Info"
"12555","EAP","OCSP status of user certificate is revoked","The OCSP server reported that the user certificate status is revoked.","Warn"
"12556","EAP","OCSP status of user certificate is unknown","The OCSP server reported that the user certificate status is unknown or ISE was unable to connect to the OCSP server.","Info"
"12557","EAP","Reject user certificate whose OCSP status is unknown","Reject user certificate whose OCSP status is unknown.","Warn"
"12558","EAP","Performed fallback to secondary OCSP server","Performed fallback to secondary OCSP server.","Info"
"12559","EAP","Internal error occurred during communication with the OCSP server","Internal error during communication with the OCSP server. The configuration of the OCSP server doesn't match the ISE OCSP client.","Warn"
"12560","EAP","OCSP server URL is invalid","OCSP server URL is invalid and can not be properly parsed.","Warn"
"12561","EAP","Connection to OCSP server failed","Connection attempt to OCSP server failed.","Warn"
"12562","EAP","OCSP server response is invalid","OCSP server returned a response that can not be parsed by ISE.","Warn"
"12563","EAP","OCSP server returned an error","OCSP server returned an error in response to the ISE OCSP request.","Warn"
"12564","EAP","OCSP server did not provide the required nonce in response","Specific OCSP service in ISE is configured to use nonce for OCSP server verification but the OCSP server did not provide a nonce in response.","Warn"
"12565","EAP","OCSP server response nonce verification failed","Cryptographic verification of nonce returned in OCSP server response failed.","Warn"
"12566","EAP","OCSP server response time verification failed","In the OCSP server response verification of 'This Update' or 'Next Update' fields failed.","Warn"
"12567","EAP","OCSP server response signature verification failed","OCSP server response signature verification failed.","Warn"
"12568","EAP","Lookup user certificate status in OCSP cache","Lookup user certificate status in OCSP cache.","Info"
"12569","EAP","User certificate status was not found in OCSP cache","User certificate status was not found in OCSP cache; ISE is going to perform OCSP request to the configured OCSP server.","Info"
"12570","EAP","Lookup user certificate status in OCSP cache succeeded","Lookup user certificate status in OCSP cache succeeded; ISE is going to use this status without performing OCSP request to the configured OCSP server.","Info"
"12571","EAP","ISE will continue to CRL verification if it is configured for specific CA","OCSP verification either failed or returned unknown certificate status. ISE will continue to CRL verification if it is configured for specific CA.","Info"
"12572","EAP","OCSP response not cached","Response from OCSP server indicates that the contents of the response should not be cached.","Debug"
"12600","EAP","Prepared EAP-Request proposing EAP-GTC with challenge","Created an EAP-Request packet to propose to use the EAP-GTC protocol, and also providing an GTC challenge, for attachment to a RADIUS message. The EAP-GTC protocol was proposed because it was one of the EAP-based protocols allowed in Allowed Protocols.","Info"
"12601","EAP","Extracted EAP-Response/NAK requesting to use EAP-GTC instead","Extracted from the RADIUS message an EAP-Response/NAK packet, rejecting the previously-proposed EAP-based protocol, and requesting to use EAP-GTC instead, per the configuration of the client's supplicant.","Info"
"12602","EAP","Extracted EAP-Response containing EAP-GTC challenge-response and accepting EAP-GTC as negotiated","Extracted from the RADIUS message an EAP-Response packet containing an EAP-GTC challenge-response, and accepting EAP-GTC as negotiated.","Info"
"12603","EAP","Failed to negotiate EAP because EAP-GTC not allowed in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the previously-proposed EAP-based protocol, and requesting to use EAP-GTC instead. However, EAP-GTC is not allowed in Allowed Protocols.","Warn"
"12604","EAP","Extracted EAP-Response containing GTC challenge-response","Continuing the EAP-GTC protocol; processing the EAP-GTC challenge-response in the extracted EAP-Response.","Info"
"12605","EAP","Prepared EAP-Request with another EAP-GTC challenge","As part of the continuation of the EAP-GTC protocol, created an EAP-Request packet containing another EAP-GTC challenge, for attachment to a RADIUS message.","Info"
"12606","EAP","Prepared EAP-Request for inner method proposing EAP-GTC with challenge","Created an EAP-Request packet to propose to use the EAP-GTC protocol for the inner method, and also providing an GTC challenge, for attachment to a RADIUS message. The EAP-GTC protocol was proposed because it was one of the EAP-based protocols allowed in Allowed Protocols.","Info"
"12607","EAP","Extracted EAP-Response/NAK for inner method requesting to use EAP-GTC instead","From the EAP-Response packet encountered in the outer EAP method, extracted an EAP-Response/NAK packet, rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-GTC instead, per the configuration of the client's supplicant.","Info"
"12608","EAP","Extracted EAP-Response containing EAP-GTC challenge-response for inner method and accepting EAP-GTC as negotiated","From the EAP-Response packet encountered in the outer EAP method, extracted an EAP-Response packet containing an EAP-GTC challenge-response, and accepting EAP-GTC as negotiated for the inner method.","Info"
"12609","EAP","Failed to negotiate EAP for inner method because EAP-GTC not allowed in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-GTC instead. However, EAP-GTC is not allowed in Allowed Protocols.","Warn"
"12610","EAP","Extracted EAP-Response for inner method containing GTC challenge-response","Continuing the inner EAP-GTC protocol; processing the EAP-GTC challenge-response in the extracted EAP-Response.","Info"
"12611","EAP","Prepared EAP-Request for inner method with another EAP-GTC challenge","As part of the continuation of the inner EAP-GTC protocol, created an EAP-Request packet containing another EAP-GTC challenge, for encapsulation within the outer EAP method's outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.","Info"
"12612","EAP","EAP-GTC authentication succeeded","EAP-GTC authentication succeeded.","Info"
"12613","EAP","EAP-GTC authentication failed","EAP-GTC authentication failed.","Info"
"12614","EAP","Inner EAP-GTC authentication succeeded","Inner EAP-GTC authentication succeeded.","Info"
"12615","EAP","Inner EAP-GTC authentication failed","Inner EAP-GTC authentication failed.","Info"
"12616","EAP","GTC username doesn't match inner method EAP-Response/Identity","The GTC username does not match the username received in the inner method EAP-Response/Identity packet. One possible reason might be that the client's supplicant is preconfigured with another username not matching that entered by the user.","Warn"
"12617","EAP","Internal error: invalid EAP-GTC state","Internal error: invalid EAP-GTC state.","Warn"
"12618","EAP","Failed to parse EAP-GTC packet","Failed to parse EAP-GTC packet.","Info"
"12619","EAP","Received EAP-GTC packet with invalid argument","Received EAP-GTC packet with an invalid argument.","Info"
"12621","EAP","EAP-GTC password change attempt failed","The attempt to change the password failed because the Allowed Protocols does not allow password change for the GTC inner method.","Info"
"12622","EAP","EAP-GTC password change attempt passed","The EAP-GTC password change attempt has passed.","Debug"
"12623","EAP","EAP-GTC authentication attempt failed","The EAP-GTC authentication attempt has failed.","Info"
"12624","EAP","EAP-GTC authentication attempt passed","The EAP-GTC authentication attempt has passed.","Debug"
"12625","EAP","Valid EAP-Key-Name attribute received","A valid EAP-Key-Name attribute was received. ISE will provide the EAP-Key-Name attribute filled with EAP-Session-ID on RADIUS Access-Accept message.","Debug"
"12626","EAP","Invalid EAP-Key-Name attribute received","An invalid EAP-Key-Name attribute was received. The attribute value must be empty.","Warn"
"12628","EAP","Invalid operation performed","Internal error, invalid operation performed, can not continue current conversation. Refer to debug log for detailed information and contact TAC engineer to report the problem.","Warn"
"12650","EAP","Invalid operation performed","Internal error, invalid operation performed. Refer to debug log for detailed information and contact TAC engineer to report the problem.","Warn"
"12651","EAP","Accept client on authenticated provisioning","Accept client on authenticated provisioning.","Info"
"12652","EAP","Accept client on provisioning after invalid PAC fallback","Accept client on provisioning after invalid PAC fallback.","Info"
"12653","EAP","Failed to negotiate EAP for inner method because EAP-GTC denied for anonymous PAC provisioning","The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-GTC instead. However, EAP-GTC cannot be used for anonymous PAC provisioning.","Warn"
"12700","EAP","Prepared EAP-Request proposing LEAP with challenge","Created an EAP-Request packet to propose to use the LEAP protocol, and also providing a LEAP challenge, for attachment to a RADIUS message. The LEAP protocol was proposed because it was one of the EAP-based protocols allowed in Allowed Protocols.","Info"
"12701","EAP","Extracted EAP-Response/NAK requesting to use LEAP instead","Extracted from the RADIUS message an EAP-Response/NAK packet, rejecting the previously-proposed EAP-based protocol, and requesting to use LEAP instead, per the configuration of the client's supplicant.","Info"
"12702","EAP","Extracted EAP-Response containing LEAP challenge-response and accepting LEAP as negotiated","Extracted from the RADIUS message an EAP-Response packet containing a LEAP challenge-response, and accepting LEAP as negotiated.","Info"
"12703","EAP","Failed to negotiate EAP because LEAP not allowed in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the previously-proposed EAP-based protocol, and requesting to use LEAP instead. However, LEAP is not allowed in Allowed Protocols.","Warn"
"12704","EAP","LEAP completed. Sent EAP-Response containing LEAP challenge-response and cisco-av-pair containing LEAP session-key","Completed the LEAP protocol. Sent the LEAP challenge-response in EAP-Response, and LEAP session-key in cisco-av-pair.","Info"
"12705","EAP","LEAP authentication passed; Continuing protocol","LEAP authentication passed. Continue LEAP protocol.","Info"
"12706","EAP","LEAP authentication failed; Finishing protocol","LEAP authentication has failed. Protocol finished with a failure.","Info"
"12707","EAP","LEAP authentication error; Finishing protocol","A LEAP authentication error has occurred. Protocol finished with an error.","Info"
"12708","EAP","LEAP packet validation failed","Failed to validate LEAP packet.","Warn"
"12709","EAP","LEAP packet parsing failed","Failed to parse LEAP packet.","Warn"
"12710","EAP","LEAP internal error: Invalid state","LEAP internal error: Invalid state.","Warn"
"12711","EAP","LEAP internal error: LEAP challenge not created","LEAP internal error: LEAP challenge not created.","Warn"
"12712","EAP","LEAP internal error: LEAP challenge-response and session-key not created","LEAP internal error: LEAP challenge-response and session-key were not created.","Warn"
"12750","EAP","Failed to negotiate EAP for inner method because EAP-MSCHAP not allowed under PEAP configuration in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-MSCHAP instead. However, EAP-MSCHAP is not allowed under PEAP configuration in Allowed Protocols.","Warn"
"12751","EAP","Failed to negotiate EAP for inner method because EAP-MSCHAP not allowed under EAP-FAST configuration in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-MSCHAP instead. However, EAP-MSCHAP is not allowed under EAP-FAST configuration in Allowed Protocols.","Warn"
"12752","EAP","Failed to negotiate EAP for inner method because EAP-TLS not allowed under PEAP configuration in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol that was previously proposed for the inner method, and requested to use EAP-TLS instead. However, ISE does not allow EAP-TLS under PEAP configuration in the Allowed Protocols.","Warn"
"12753","EAP","Failed to negotiate EAP for inner method because EAP-TLS not allowed under EAP-FAST configuration in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol that was previously proposed for the inner method, and requested to use EAP-TLS instead. However, ISE does not allow EAP-TLS under EAP-FAST configuration in the Allowed Protocols.","Warn"
"12754","EAP","Failed to negotiate EAP for inner method because EAP-GTC not allowed under PEAP configuration in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-GTC instead. However, EAP-GTC is not allowed under PEAP configuration in Allowed Protocols.","Warn"
"12755","EAP","Failed to negotiate EAP for inner method because EAP-GTC not allowed under EAP-FAST configuration in the Allowed Protocols","The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol that was previously proposed for the inner method, and requested to use EAP-GTC instead. However, ISE does not allow EAP-GTC under EAP-FAST configuration in Allowed Protocols.","Warn"
"12800","EAP","Extracted first TLS record; TLS handshake started","For the first time in the current EAP conversation, extracted from the EAP-Response packet a TLS record, presumably containing in turn a TLS ClientHello message. ISE recognizes this as an attempt by the client's supplicant to initiate a TLS handshake.","Info"
"12801","EAP","Prepared TLS ChangeCipherSpec message","As part of the TLS handshake currently in progress, prepared a TLS record containing a TLS ChangeCipherSpec message, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.","Info"
"12802","EAP","Prepared TLS Finished message","As part of the TLS handshake currently in progress, prepared a TLS record containing a TLS Finished message, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message. ISE is indicating that it is ready to finish the TLS handshake.","Info"
"12803","EAP","Extracted TLS ChangeCipherSpec message","As part of the TLS handshake currently in progress, extracted from the EAP-Response packet a TLS record containing a TLS ChangeCipherSpec message.","Info"
"12804","EAP","Extracted TLS Finished message","As part of the TLS handshake currently in progress, extracted from the EAP-Response packet a TLS record containing a TLS Finished message. The client's supplicant is indicating that it is ready to finish the TLS handshake.","Info"
